,title,rating,format,genre
0,가난을 등에 업은 소녀,9.11,0,0
1,가담항설,9.98,0,1
2,가령의 정체불명 이야기,9.95,1,2
3,가비지타임,9.96,0,3
4,가상&RPG,9.94,0,1
5,가슴털 로망스,9.93,0,4
6,가우스전자 시즌1~2,9.96,0,4
7,가우스전자 시즌3~4,9.97,2,4
8,가족같은 XX,9.96,0,0
9,가족의 초상,9.88,2,2
10,가짜 동맹,9.96,0,0
11,가짜인간,9.44,0,5
12,가타부타타,9.95,0,0
13,각자의 디데이,9.97,0,0
14,간질간질,9.22,0,0
15,갇힌 방,9.87,0,5
16,감 비서가 고장났다,9.91,0,0
17,감염자,9.95,0,5
18,감자마을,9.94,0,4
19,감히,9.91,0,5
20,갑자기 커피,9.78,0,4
21,갓 오브 하이스쿨,9.64,0,1
22,갓!김치,7.41,2,4
23,갓도령스,9.96,0,2
24,갓물주,9.9,0,2
25,갓트,9.87,0,1
26,갓핑크,9.93,0,1
27,강남도깨비,9.78,0,1
28,강림전기 개정기,9.9,2,6
29,강변살다,9.86,0,0
30,강시대소동,9.74,0,5
31,같은 학교 친구,9.98,0,0
32,같은도장,9.98,0,0
33,개를 낳았다,9.93,0,2
34,개미,9.8,0,5
35,개미잡이,9.82,0,2
36,개밥 먹는 남자,9.93,0,1
37,개와 사람의 시간,9.86,0,2
38,개인정보 제공에 동의하십니...,9.13,0,5
39,개장수,9.98,0,1
40,개판,9.88,0,6
41,개편 축하 릴레이 카툰,9.55,2,7
42,갤러리L : 당신의 기억을...,9.2,0,0
43,갸오오와 사랑꾼들,9.94,2,4
44,거래,9.55,0,5
45,거래하실래요?,9.9,0,0
46,거미,9.9,0,5
47,거상 김만덕,9.89,0,2
48,걸어서 30분,9.97,0,0
49,검은인간,9.98,0,6
50,게임의 법칙,9.72,0,6
51,겟라이프,9.87,0,1
52,겟백,9.98,2,2
53,겨울동화,9.89,2,8
54,격기3반,9.48,0,3
55,격투기특성화사립고교 극지고,9.78,0,6
56,견우와 선녀,9.98,0,2
57,견우와 직녀,9.95,0,0
58,견원지간 로맨스,9.65,2,7
59,결계녀,9.87,0,0
60,결백한 사람은 없다,9.86,0,2
61,결혼공략,9.93,0,0
62,결혼까지 망상했어!,9.95,0,0
63,결혼생활 그림일기,9.96,1,7
64,경비 배두만,9.95,0,6
65,경비실에서 안내방송 드립니다,9.66,0,5
66,경운기를 탄 왕자님,9.9,0,4
67,경자 전성시대,9.93,0,4
68,계룡선녀전,9.98,0,2
69,고(故)길창덕화백 추모웹툰,9.76,1,7
70,고(故)노무현 前대통령 추...,9.38,1,7
71,고고고,9.97,0,1
72,고고루키루,9.96,1,2
73,고교생을 환불해 주세요,9.98,0,2
74,고등단편.zip,9.82,1,2
75,고등매직,9.79,2,4
76,고래별,9.98,0,0
77,고백 취소도 되나?,9.95,0,0
78,고삼무쌍,9.83,0,6
79,고삼이 집나갔다,9.74,0,2
80,고수,9.97,0,1
81,고시생툰,9.92,0,7
82,고인의 명복,9.98,0,2
83,고향의꽃,9.86,0,5
84,골든 체인지,9.98,0,1
85,골방환상곡,9.92,2,7
86,"곱게 키웠더니, 짐승",9.97,0,0
87,공감.jpg,4.45,2,4
88,공대생 너무만화,9.97,0,4
89,공방의 마녀,9.82,0,0
90,공복의 저녁식사,9.75,0,2
91,공부하기 좋은 날,9.84,1,5
92,공유몽,9.92,0,1
93,공주는 잠 못 이루고,9.95,0,2
94,공포단편선X,9.72,2,5
95,관계의 종말,9.77,0,5
96,관심종자,9.69,0,6
97,관종교장,9.93,0,4
98,관찰일기,9.97,0,0
99,광마회귀,9.96,0,9
100,광장,9.97,0,6
101,광해의 연인,9.92,0,0
102,괴물공작의 딸,9.5,0,1
103,괴물신부,9.94,0,1
104,괴이,9.8,0,6
105,교환일기,9.94,0,2
106,교환학생,9.88,0,2
107,구구까까,9.94,0,4
108,구남친이 내게 반했다,9.89,0,0
109,구독금지,9.91,0,5
110,구름의 노래,9.88,1,2
111,구름의 이동속도,9.98,2,2
112,구름이 피워낸 꽃,9.91,0,0
113,구사일생 로맨스,9.91,0,0
114,구석구석캠페인,9.22,2,7
115,구원자,7.49,0,1
116,구원자 요즘 뭐해요,9.64,0,1
117,구주,9.87,0,2
118,구주의 시간,9.95,0,2
119,"구해줘, 호구!",9.91,0,0
120,국가의 탄생,9.46,1,4
121,국립자유경제 고등학교 세실고,9.95,0,2
122,국립자유경제고등학교 세실고...,9.97,0,2
123,국세청 망나니,9.87,0,2
124,국왕과 성기사의 약탈혼,9.88,0,0
125,군인RPG,9.77,0,4
126,군주,8.5,0,3
127,굿 리스너,9.97,1,2
128,굿닥터,9.88,0,8
129,굿모닝 스페이스,9.87,0,1
130,귀각시,9.97,0,0
131,귀곡의 문,9.98,0,2
132,귀도,9.91,1,5
133,귀도호가록,9.97,0,1
